Gene	Module	kME
ENSMUSG00000002791	UNCLASSIFIED	NA
ENSMUSG00000002797	UNCLASSIFIED	NA
ENSMUSG00000002799	P3_I9_M3	0.88
ENSMUSG00000002803	UNCLASSIFIED	NA
ENSMUSG00000002804	UNCLASSIFIED	NA
ENSMUSG00000002808	P2_I12_M9	0.82
ENSMUSG00000002812	P1_I9_M1	0.92
ENSMUSG00000002814	P3_I9_M1	0.85
ENSMUSG00000002820	UNCLASSIFIED	NA
ENSMUSG00000002825	P6_I6_M3	0.82
ENSMUSG00000002831	P2_I12_M3	0.92
ENSMUSG00000002833	P2_I12_M3	0.82
ENSMUSG00000002835	P3_I9_M12	0.94
ENSMUSG00000002844	P3_I9_M7	0.94
ENSMUSG00000002845	P3_I9_M6	0.86
ENSMUSG00000002846	UNCLASSIFIED	NA
ENSMUSG00000002847	P3_I9_M12	0.87
ENSMUSG00000002870	P2_I12_M1	0.94
ENSMUSG00000002871	P5_I8_M3	0.85
ENSMUSG00000002881	UNCLASSIFIED	NA
ENSMUSG00000002885	P3_I9_M4	0.91
ENSMUSG00000002897	P5_I8_M9	0.94
ENSMUSG00000002900	P1_I9_M1	0.95
ENSMUSG00000002908	UNCLASSIFIED	NA
ENSMUSG00000002910	UNCLASSIFIED	NA
ENSMUSG00000002944	P3_I9_M2	0.95
ENSMUSG00000002948	P2_I12_M5	0.94
ENSMUSG00000002949	P1_I9_M7	0.89
ENSMUSG00000002957	P1_I9_M1	0.89
ENSMUSG00000002963	P5_I8_M12	0.82
ENSMUSG00000002968	P3_I9_M4	0.91
ENSMUSG00000002980	P2_I12_M4	0.93
ENSMUSG00000002981	P4_I9_M2	0.92
ENSMUSG00000002983	P4_I9_M2	0.91
ENSMUSG00000002984	P2_I12_M4	0.88
ENSMUSG00000002985	P2_I12_M19	0.94
ENSMUSG00000002992	P1_I9_M2	0.97
ENSMUSG00000002996	P5_I8_M1	0.9
ENSMUSG00000002997	P2_I12_M13	0.89
ENSMUSG00000003031	P3_I9_M17	0.89
ENSMUSG00000003032	P4_I9_M23	0.89
ENSMUSG00000003033	P5_I8_M4	0.91
ENSMUSG00000003037	P7_I7_M7	0.82
ENSMUSG00000003038	P1_I9_M5	0.85
ENSMUSG00000003039	P3_I9_M10	0.88
ENSMUSG00000003051	P1_I9_M3	0.94
ENSMUSG00000003053	P1_I9_M2	0.94
ENSMUSG00000003062	P2_I12_M3	0.86
ENSMUSG00000003068	P3_I9_M4	0.84
ENSMUSG00000003070	P3_I9_M2	0.91
ENSMUSG00000003072	P1_I9_M8	0.91
ENSMUSG00000003099	P5_I8_M4	0.94
ENSMUSG00000003119	P2_I12_M2	0.95
ENSMUSG00000003123	P5_I8_M6	0.91
ENSMUSG00000003131	P1_I9_M1	0.94
ENSMUSG00000003134	P10_I3_M5	0.82
ENSMUSG00000003135	P1_I9_M1	0.88
ENSMUSG00000003153	P4_I9_M5	0.89
ENSMUSG00000003154	P2_I12_M5	0.91
ENSMUSG00000003161	P1_I9_M1	0.94
ENSMUSG00000003166	P3_I9_M4	0.86
ENSMUSG00000003184	UNCLASSIFIED	NA
ENSMUSG00000003190	P8_I5_M1	0.87
ENSMUSG00000003198	UNCLASSIFIED	NA
ENSMUSG00000003199	UNCLASSIFIED	NA
ENSMUSG00000003200	P3_I9_M1	0.91
ENSMUSG00000003206	UNCLASSIFIED	NA
ENSMUSG00000003208	P2_I12_M4	0.91
ENSMUSG00000003226	P4_I9_M13	0.94
ENSMUSG00000003227	UNCLASSIFIED	NA
ENSMUSG00000003228	P3_I9_M4	0.87
ENSMUSG00000003233	P3_I9_M1	0.85
ENSMUSG00000003234	UNCLASSIFIED	NA
ENSMUSG00000003235	P2_I12_M4	0.91
ENSMUSG00000003269	P1_I9_M1	0.93
ENSMUSG00000003271	P10_I3_M1	0.84
ENSMUSG00000003273	P6_I6_M3	0.88
ENSMUSG00000003279	P2_I12_M10	0.83
ENSMUSG00000003282	UNCLASSIFIED	NA
ENSMUSG00000003283	P2_I12_M1	0.89
ENSMUSG00000003299	P5_I8_M4	0.86
ENSMUSG00000003308	P3_I9_M4	0.87
ENSMUSG00000003309	P1_I9_M3	0.96
ENSMUSG00000003316	P6_I6_M8	0.95
ENSMUSG00000003344	P2_I12_M3	0.91
ENSMUSG00000003345	P1_I9_M1	0.93
ENSMUSG00000003346	P2_I12_M4	0.93
ENSMUSG00000003348	P3_I9_M7	0.92
ENSMUSG00000003352	P1_I9_M1	0.91
ENSMUSG00000003354	P1_I9_M3	0.98
ENSMUSG00000003355	UNCLASSIFIED	NA
ENSMUSG00000003360	P4_I9_M6	0.93
ENSMUSG00000003363	P3_I9_M12	0.9
ENSMUSG00000003378	P5_I8_M15	0.86
ENSMUSG00000003379	P6_I6_M7	0.83
ENSMUSG00000003380	P2_I12_M4	0.87
ENSMUSG00000003382	P9_I6_M3	0.88
ENSMUSG00000003402	P6_I6_M11	0.9
ENSMUSG00000003410	UNCLASSIFIED	NA
ENSMUSG00000003411	UNCLASSIFIED	NA
ENSMUSG00000003418	P4_I9_M7	0.82
ENSMUSG00000003420	P6_I6_M10	0.93
ENSMUSG00000003421	P2_I12_M4	0.96
ENSMUSG00000003423	P2_I12_M6	0.91
ENSMUSG00000003429	P2_I12_M4	0.9
ENSMUSG00000003435	P3_I9_M4	0.89
ENSMUSG00000003437	P7_I7_M3	0.9
ENSMUSG00000003438	P5_I8_M6	0.86
ENSMUSG00000003444	UNCLASSIFIED	NA
ENSMUSG00000003452	P4_I9_M12	0.84
